ticket_id,created_at,closed_at,channel,product,category,issue_subtype,priority,status,customer_text,agent_response,resolution_time_seconds,first_contact_resolved,escalated_to,sla_breach,pii_flag,pii_entities_found,anonymized_at,is_gold_example,gold_signal,source,kb_refs,data_consent,retention_expires_at,language
TKT-00537,2025-04-10T12:29:39,,chat,CloudSync,other,data_export,critical,pending,I'd like to file a formal complaint about the service outage last weekend.,Thank you for the dark mode suggestion! I've submitted it to our product team. We regularly review user feedback for roadmap planning.,61021,0,billing_team,1,1,EMAIL_ADDRESS,2025-04-10T12:29:39,0,reviewer_confirmed,synthetic,KB-21;KB-8;KB-9,1,2028-04-09,hi
TKT-00600,2026-04-16T12:29:39,,chat,BasicPlan,returns,return_window_expired,medium,pending,I returned my item 2 weeks ago but still haven't received my refund. Where is my money?,I apologize for the incorrect item. I've arranged a free return label and your correct order will ship once we receive the return.,37570,0,billing_team,1,0,,2026-04-16T12:29:39,1,reviewer_confirmed,bitext,KB-14;KB-2;KB-7,1,2029-04-15,hi
TKT-00429,2025-11-07T12:29:39,2025-11-08T09:47:35,phone,EnterpriseSuite,billing,upgrade_billing,critical,closed,I need a refund for last month. The service was down for 3 days and I couldn't use it.,I've corrected the billing error. You were incorrectly charged the enterprise rate. A partial refund has been issued.,76676,0,billing_team,1,0,,2025-11-07T12:29:39,0,reviewer_confirmed,bitext,KB-1;KB-13;KB-11,1,2028-11-06,hi
TKT-00425,2025-05-20T12:29:39,2025-05-20T18:32:11,email,CloudSync,account,email_change,critical,resolved,I need to change the email address on my account. The old one no longer exists.,I've identified the bug with the save button. I've manually updated your billing address and reported the bug to our team.,21752,0,billing_team,0,0,,2025-05-20T12:29:39,1,reviewer_confirmed,bitext,KB-15,1,2028-05-19,en
TKT-00304,2025-12-04T12:29:39,,social,ProPlan,technical,app_crash,high,pending,The mobile app crashes every time I try to open the reports section.,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,49812,0,senior_support,1,1,PERSON;EMAIL_ADDRESS,2025-12-04T12:29:39,0,agent_corrected,internal,,1,2028-12-03,en
TKT-00466,2026-01-23T12:29:39,,chat,DataVault,account,account_locked,low,escalated,I need to change the email address on my account. The old one no longer exists.,Your account deletion request has been submitted. All data will be permanently removed within 30 days per our policy.,16664,0,billing_team,0,1,PERSON;EMAIL_ADDRESS;PHONE_NUMBER,2026-01-23T12:29:39,0,reviewer_confirmed,synthetic,KB-13;KB-23;KB-7,1,2029-01-22,en
TKT-00131,2025-07-26T12:29:39,,social,ProPlan,returns,item_damaged,high,pending,I'd like to exchange this for a different size. How do I initiate an exchange?,Your refund was processed on our end. It may be delayed by your bank. Here's your refund confirmation number.,82333,1,,1,0,,2025-07-26T12:29:39,1,,bitext,,1,2028-07-25,hi
TKT-00213,2025-03-30T12:29:39,,web,BasicPlan,billing,subscription_cancel,high,pending,My credit card was charged $99 but the plan costs $49. Please fix this billing error.,I've corrected the billing error. You were incorrectly charged the enterprise rate. A partial refund has been issued.,64371,1,,1,1,PHONE_NUMBER,2025-03-30T12:29:39,0,,synthetic,KB-11;KB-8,1,2028-03-29,en
TKT-00477,2026-01-03T12:29:39,2026-01-04T04:56:26,web,EnterpriseSuite,returns,refund_not_received,medium,closed,I returned my item 2 weeks ago but still haven't received my refund. Where is my money?,I apologize for the incorrect item. I've arranged a free return label and your correct order will ship once we receive the return.,59207,1,billing_team,1,0,,2026-01-03T12:29:39,0,reviewer_confirmed,bitext,KB-18;KB-1,1,2029-01-02,en
TKT-00315,2026-04-12T12:29:39,,web,ProPlan,account,profile_update,low,escalated,I want to permanently delete my account and all associated data.,I've updated your email address. You'll receive a confirmation at both addresses. Please verify the new one within 24 hours.,31755,1,,1,1,EMAIL_ADDRESS,2026-04-12T12:29:39,0,reviewer_confirmed,synthetic,KB-16;KB-18,1,2029-04-11,en
TKT-00093,2025-10-20T12:29:39,2025-10-21T08:33:59,chat,ProPlan,technical,feature_not_working,medium,closed,My data isn't syncing between devices. Everything is stuck from 3 days ago.,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,72260,0,billing_team,1,1,PERSON;EMAIL_ADDRESS;PHONE_NUMBER,2025-10-20T12:29:39,0,,bitext,KB-24;KB-19,1,2028-10-19,en
TKT-00266,2025-01-08T12:29:39,,phone,ProPlan,returns,return_window_expired,medium,escalated,I want to return this but your website says the 30-day return window has expired. Can you help?,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,13296,0,billing_team,0,0,,2025-01-08T12:29:39,0,,internal,KB-4;KB-1;KB-19,1,2028-01-08,en
TKT-00546,2025-09-27T12:29:39,,email,ProPlan,account,two_factor_issue,critical,escalated,I can't update my billing address in the profile settings. The save button doesn't work.,"I've unlocked your account. For security, I've also sent you a verification email. Please confirm your identity to restore full access.",62866,0,senior_support,1,1,EMAIL_ADDRESS,2025-09-27T12:29:39,0,,bitext,,1,2028-09-26,en
TKT-00481,2026-03-26T12:29:39,,web,EnterpriseSuite,account,account_deletion,critical,escalated,I want to permanently delete my account and all associated data.,I've adjusted your account permissions to allow team invitations. Please try again and let me know if you need further help.,73267,0,,1,1,EMAIL_ADDRESS,2026-03-26T12:29:39,0,,internal,KB-21,1,2029-03-25,en
TKT-00236,2026-01-10T12:29:39,,chat,ProPlan,returns,wrong_item,critical,escalated,I returned my item 2 weeks ago but still haven't received my refund. Where is my money?,I've initiated an exchange request. Please use the prepaid label attached and your new size will ship within 2 business days.,10761,1,,0,0,,2026-01-10T12:29:39,0,agent_corrected,bitext,KB-23;KB-15,1,2029-01-09,en
TKT-00189,2025-06-08T12:29:39,,social,BasicPlan,technical,slow_performance,medium,escalated,My data isn't syncing between devices. Everything is stuck from 3 days ago.,"I've flagged this app crash to our engineering team. As a workaround, please try clearing the app cache from settings.",30715,0,billing_team,1,0,,2025-06-08T12:29:39,1,reviewer_confirmed,synthetic,KB-15;KB-4,1,2028-06-07,hi
TKT-00440,2025-06-07T12:29:39,2025-06-07T23:35:56,social,ProPlan,account,two_factor_issue,critical,closed,I want to permanently delete my account and all associated data.,I've adjusted your account permissions to allow team invitations. Please try again and let me know if you need further help.,39977,1,billing_team,1,0,,2025-06-07T12:29:39,1,agent_corrected,synthetic,,1,2028-06-06,en
TKT-00397,2025-08-03T12:29:39,2025-08-03T13:59:32,social,MobileApp,returns,refund_not_received,critical,closed,The item I received is damaged. The packaging was intact but the product inside is broken.,Your refund was processed on our end. It may be delayed by your bank. Here's your refund confirmation number.,5393,1,billing_team,0,0,,2025-08-03T12:29:39,0,reviewer_confirmed,synthetic,,1,2028-08-02,en
TKT-00541,2025-12-08T12:29:39,2025-12-09T03:30:54,web,ProPlan,account,two_factor_issue,high,closed,I want to permanently delete my account and all associated data.,Your account deletion request has been submitted. All data will be permanently removed within 30 days per our policy.,54075,0,,1,0,,2025-12-08T12:29:39,0,reviewer_confirmed,synthetic,,1,2028-12-07,hi
TKT-00347,2025-10-26T12:29:39,,email,BasicPlan,returns,exchange_request,high,pending,I'd like to exchange this for a different size. How do I initiate an exchange?,I apologize for the incorrect item. I've arranged a free return label and your correct order will ship once we receive the return.,7224,1,,0,1,EMAIL_ADDRESS,2025-10-26T12:29:39,0,,bitext,,1,2028-10-25,en
TKT-00596,2025-01-12T12:29:39,,social,MobileApp,other,feedback,low,escalated,Can you tell me how long you retain customer data after account closure?,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. Exports are ready within 1 hour.",82698,1,billing_team,1,0,,2025-01-12T12:29:39,0,,internal,KB-23;KB-10;KB-17,1,2028-01-12,en
TKT-00426,2025-10-25T12:29:39,2025-10-26T06:05:41,web,BasicPlan,account,email_change,medium,closed,My account got locked and I don't know why. I need access urgently for work.,Your account deletion request has been submitted. All data will be permanently removed within 30 days per our policy.,63362,1,,1,0,,2025-10-25T12:29:39,0,,bitext,,1,2028-10-24,en
TKT-00326,2025-05-19T12:29:39,2025-05-19T23:23:51,phone,EnterpriseSuite,other,data_export,critical,closed,I'd like to file a formal complaint about the service outage last weekend.,Thank you for the dark mode suggestion! I've submitted it to our product team. We regularly review user feedback for roadmap planning.,39252,0,senior_support,1,1,EMAIL_ADDRESS,2025-05-19T12:29:39,0,agent_corrected,synthetic,KB-8;KB-14;KB-2,1,2028-05-18,en
TKT-00482,2025-05-09T12:29:39,,chat,DataVault,account,profile_update,high,escalated,My account got locked and I don't know why. I need access urgently for work.,I've identified the bug with the save button. I've manually updated your billing address and reported the bug to our team.,62113,0,billing_team,1,0,,2025-05-09T12:29:39,0,reviewer_confirmed,internal,KB-14,1,2028-05-08,en
TKT-00279,2026-04-17T12:29:39,2026-04-18T05:37:16,phone,CloudSync,technical,feature_not_working,critical,closed,My data isn't syncing between devices. Everything is stuck from 3 days ago.,I've escalated the performance issue to our infrastructure team. In the meantime try a hard refresh (Ctrl+Shift+R).,61657,0,,1,0,,2026-04-17T12:29:39,0,agent_corrected,synthetic,KB-8;KB-24,1,2029-04-16,en
TKT-00420,2025-10-15T12:29:39,,email,EnterpriseSuite,billing,subscription_cancel,low,escalated,I cancelled my subscription 2 weeks ago but still got charged. Please reverse this.,I can confirm your subscription was cancelled. The charge has been reversed and a refund issued. Please allow 3–5 business days.,13023,1,,0,1,PERSON;EMAIL_ADDRESS,2025-10-15T12:29:39,0,agent_corrected,synthetic,KB-19;KB-22;KB-6,1,2028-10-14,en
TKT-00582,2026-02-25T12:29:39,,chat,MobileApp,other,complaint,high,escalated,I'd like to file a formal complaint about the service outage last weekend.,Thank you for the dark mode suggestion! I've submitted it to our product team. We regularly review user feedback for roadmap planning.,10470,0,billing_team,0,0,,2026-02-25T12:29:39,0,reviewer_confirmed,bitext,KB-3,1,2029-02-24,hi
TKT-00340,2025-01-27T12:29:39,2025-01-28T01:06:32,phone,BasicPlan,other,feature_request,critical,closed,I'd like to file a formal complaint about the service outage last weekend.,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. Exports are ready within 1 hour.",45413,0,,1,1,EMAIL_ADDRESS,2025-01-27T12:29:39,0,reviewer_confirmed,synthetic,KB-23;KB-10,1,2028-01-27,en
TKT-00231,2025-01-10T12:29:39,2025-01-11T12:29:34,social,CloudSync,account,two_factor_issue,critical,resolved,I want to permanently delete my account and all associated data.,I've updated your email address. You'll receive a confirmation at both addresses. Please verify the new one within 24 hours.,86395,1,,1,0,,2025-01-10T12:29:39,0,agent_corrected,synthetic,KB-22;KB-24,1,2028-01-10,en
TKT-00060,2025-07-08T12:29:39,2025-07-08T16:03:54,email,EnterpriseSuite,billing,invoice_error,high,closed,I need a refund for last month. The service was down for 3 days and I couldn't use it.,I've corrected your billing to the Basic Plan. The difference has been refunded to your original payment method.,12855,0,senior_support,0,1,PHONE_NUMBER,2025-07-08T12:29:39,0,,bitext,KB-6;KB-9,1,2028-07-07,hi
