interaction_id,ticket_id,agent_id,suggested_at,model_version,model_suggestion,retrieval_top1_id,retrieval_top1_score,retrieval_top3_avg,low_confidence_flag,agent_action,agent_final,edit_distance,edit_distance_ratio,dwell_seconds,agent_confidence,rationale_type,rationale_severity,rationale_suggested_change,rationale_root_cause,submitted_at,excluded_from_training
1,TKT-00004,AGT-02,2026-06-11T12:29:39,snapshot-2024-03,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,TKT-00258,0.7864,0.7611,0,reject,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within [edited],70,0.5185,161,2,policy,low,Should mention refund timeline explicitly.,policy_outdated,2026-06-11T12:35:08,0
2,TKT-00003,AGT-11,2026-05-15T12:29:39,snapshot-2024-01,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,TKT-00092,0.6516,0.5966,0,reject,I've reset your account credentials on our end. Please try the password reset flow a [edited],82,0.6613,81,2,missing_info,high,Should mention refund timeline explicitly.,policy_outdated,2026-05-15T12:39:00,0
3,TKT-00568,AGT-04,2026-05-04T12:29:39,snapshot-2024-01,"I've unlocked your account. For security, I've also sent you a verification email. Please confirm your identity to restore full access.",TKT-00387,0.7839,0.728,0,reject,"I've unlocked your account. For security, I've also sent you a verification email. Please confirm your iden [edited]",27,0.2,78,4,hallucination,medium,Should mention refund timeline explicitly.,prompt_gap,2026-05-04T12:37:54,0
4,TKT-00505,AGT-07,2026-06-16T12:29:39,snapshot-2024-06,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,TKT-00187,0.5434,0.466,1,reject,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should  [edited],104,0.6797,128,4,other,medium,Should mention refund timeline explicitly.,prompt_gap,2026-06-16T12:31:08,0
5,TKT-00500,AGT-06,2026-06-05T12:29:39,snapshot-2024-03,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,TKT-00182,0.592,0.5591,1,modify,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processe [edited],113,0.7386,86,4,hallucination,medium,Should mention refund timeline explicitly.,policy_outdated,2026-06-05T12:37:27,0
6,TKT-00078,AGT-01,2026-06-07T12:29:39,snapshot-2024-03,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,TKT-00533,0.9336,0.8975,0,reject,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive [edited],96,0.7111,109,2,other,low,Should mention refund timeline explicitly.,none,2026-06-07T12:34:10,0
7,TKT-00194,AGT-10,2026-05-05T12:29:39,snapshot-2024-06,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. Exports are ready within 1 hour.",TKT-00093,0.7814,0.7045,0,reject,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. E [edited]",31,0.265,10,4,tone,high,Should mention refund timeline explicitly.,model_limit,2026-05-05T12:36:40,0
8,TKT-00059,AGT-04,2026-05-05T12:29:39,snapshot-2024-03,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. Exports are ready within 1 hour.",TKT-00386,0.856,0.8322,0,accept,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. Exports are ready within 1 hour.",0,0.0,55,2,other,medium,,prompt_gap,2026-05-05T12:35:36,0
9,TKT-00413,AGT-04,2026-05-03T12:29:39,snapshot-2024-01,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,TKT-00541,0.5355,0.4931,1,modify,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you  [edited],108,0.8,10,5,tone,high,Should mention refund timeline explicitly.,policy_outdated,2026-05-03T12:38:55,0
10,TKT-00170,AGT-01,2026-06-21T12:29:39,snapshot-2024-03,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,TKT-00116,0.5332,0.4951,1,accept,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,0,0.0,36,4,hallucination,low,,model_limit,2026-06-21T12:32:05,0
11,TKT-00343,AGT-12,2026-06-19T12:29:39,snapshot-2024-06,"I've unlocked your account. For security, I've also sent you a verification email. Please confirm your identity to restore full access.",TKT-00360,0.4892,0.4259,1,reject,"I've unlocked your account. For security, I've also sent you a verification email. Please confirm your identity to restore f [edited]",16,0.1185,43,1,other,medium,Should mention refund timeline explicitly.,prompt_gap,2026-06-19T12:35:58,0
12,TKT-00513,AGT-05,2026-05-04T12:29:39,snapshot-2024-03,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,TKT-00410,0.6216,0.5709,1,accept,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,0,0.0,30,3,other,medium,,policy_outdated,2026-05-04T12:35:37,0
13,TKT-00555,AGT-12,2026-05-27T12:29:39,snapshot-2024-06,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,TKT-00526,0.4993,0.4213,1,reject,I've reset your account credentials on our end. Please try the password reset flow a [edited],51,0.4113,67,4,tone,medium,Should mention refund timeline explicitly.,policy_outdated,2026-05-27T12:37:00,0
14,TKT-00472,AGT-01,2026-05-06T12:29:39,snapshot-2024-03,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. Exports are ready within 1 hour.",TKT-00366,0.7397,0.7132,0,accept,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. Exports are ready within 1 hour.",0,0.0,64,4,missing_info,medium,,none,2026-05-06T12:32:30,0
